user_id,pharmacy_name,owner_name,phone,email,state,city,registration_date,account_status,pharmacy_licence_number
21,Eze Chemist,Juliet Eze,07857826219,julieteze@hotmail.com,Ogun,Abeokuta,10/18/2022,Active,PCN/19335/2022
22,Eze Pharmacare,Esther Eze,08453571587,esthereze@yahoo.com,Kano,Gwale,3/3/2023,Inactive,PCN/73330/2024
23,Adetokunbo Drugstore,Peter Adetokunbo,07894858809,peteradetokunbo@hotmail.com,Lagos,Victoria Island,3/2/2024,Active,PCN/96129/2019
24,Eze Pharmacy,Ruth Eze,08039919718,rutheze@hotmail.com,Rivers,Obio,11/1/2023,Suspended,PCN/57285/2023
25,Obasanjo Pharmaceuticals,Grace Obasanjo,07484606435,graceobasanjo@yahoo.com,Delta,Warri,2/12/2024,Active,PCN/92184/2018
26,Akinwale Pharmacare,Gloria Akinwale,07509866902,gloriaakinwale@yahoo.com,Oyo,Ibadan,7/12/2022,Inactive,PCN/27736/2023
27,Ekwueme Medstore,Joseph Ekwueme,07883195646,josephekwueme@hotmail.com,Rivers,Bonny,10/31/2022,Inactive,PCN/64566/2023
28,Chukwu Drugstore,Patience Chukwu,07574937181,patiencechukwu@gmail.com,Anambra,Onitsha,8/13/2023,Active,PCN/17408/2024
29,Obasanjo Medicare,Simon Obasanjo,07342541259,simonobasanjo@hotmail.com,Anambra,Ekwulobia,6/7/2024,Active,PCN/55006/2019
30,Okonkwo Drugstore,Patience Okonkwo,07554270857,patienceokonkwo@gmail.com,Rivers,Eleme,10/10/2022,Active,PCN/57588/2024
31,Uche Medplus,Grace Uche,08196696434,graceuche@hotmail.com,Oyo,Ogbomoso,2/7/2022,Active,PCN/53574/2021
32,Eze Medstore,Cornelius Eze,08966037440,corneliuseze@hotmail.com,Kano,Fagge,8/22/2023,Active,PCN/31157/2022
33,Oshodi Medplus,Nathaniel Oshodi,07647499412,nathanieloshodi@hotmail.com,Abuja,Gwarinpa,7/18/2023,Active,PCN/67954/2019
34,Balogun Healthcare,Michael Balogun,08091237138,michaelbalogun@hotmail.com,Delta,Warri,12/14/2023,Inactive,PCN/10275/2018
35,Obi Medplus,Mark Obi,07565663380,markobi@hotmail.com,Kaduna,Kaduna,1/1/2024,Active,PCN/40750/2018
36,Olawale Drugstore,Blessing Olawale,08282539981,blessingolawale@gmail.com,Delta,Agbor,7/30/2023,Inactive,PCN/41275/2023
37,Olawale Drugstore,Sarah Olawale,08617975340,,Enugu,Awgu,9/4/2024,Active,PCN/61020/2018
38,Nnamani Drugs,Sarah Nnamani,07263466840,sarahnnamani@gmail.com,Anambra,Aguata,10/15/2022,Active,PCN/92421/2018
39,Ibrahim Drugs,Blessing Ibrahim,08481150805,blessingibrahim@gmail.com,Kaduna,Kaduna,5/20/2022,Active,PCN/28191/2023
40,Okonkwo Pharmacy,Peter Okonkwo,08233769205,peterokonkwo@hotmail.com,Abuja,Gwarinpa,7/26/2024,Active,PCN/77035/2019
41,Adetokunbo Pharmacy,Stephen Adetokunbo,08575955264,stephenadetokunbo@gmail.com,Abuja,Garki,9/5/2024,Active,PCN/61777/2024
42,Balogun Pharmaceuticals,James Balogun,07152131603,jamesbalogun@yahoo.com,Ogun,Ota,2/15/2022,Inactive,PCN/61413/2018
43,Oshodi Drugstore,Grace Oshodi,07907177606,grace.oshodi@yahoo.com,Rivers,Eleme,6/28/2022,Pending,PCN/88508/2023
44,Ibrahim Healthcare,Juliet Ibrahim,08929217105,julietibrahim@hotmail.com,Oyo,Iseyin,11/18/2023,Active,PCN/13763/2020
45,Ogunleye Pharmacare,Hope Ogunleye,07537542320,hopeogunleye@gmail.com,Delta,Ughelli,6/25/2022,Active,PCN/23068/2018
46,Ekwueme Pharmacare,Esther Ekwueme,07015710059,estherekwueme@gmail.com,Ogun,Sagamu,3/21/2023,Active,PCN/54695/2024
47,Ekwueme Drugstore,Cornelius Ekwueme,08617426795,corneliusekwueme@gmail.com,Lagos,Ikorodu,11/5/2023,Inactive,PCN/56822/2020
48,Ojo Pharmaceuticals,Stephen Ojo,07142486505,stephenojo@gmail.com,Anambra,Awka,3/27/2023,Active,PCN/59766/2020
49,Nnamani Pharmacy,Paul Nnamani,08495922343,paulnnamani@gmail.com,Abuja,Kubwa,12/6/2024,Active,PCN/92995/2019
50,Olawale Medicare,Stephen Olawale,08166550773,,Anambra,Nnewi,2/5/2024,Active,PCN/99365/2020
51,Akinwale Pharmaceuticals,Gabriel Akinwale,09046915978,gabrielakinwale@hotmail.com,Delta,Warri,6/4/2023,Active,
52,Adetokunbo Medplus,Faith Adetokunbo,08256446233,faithadetokunbo@gmail.com,Kaduna,Kaura,7/7/2023,Pending,PCN/93169/2019
53,Oshodi Drugs,Hope Oshodi,08019327388,hopeoshodi@hotmail.com,Oyo,Saki,7/24/2024,Active,PCN/16912/2019
54,Okafor Healthcare,Hope Okafor,07672504517,hopeokafor@hotmail.com,Rivers,Bonny,2/12/2023,Pending,PCN/28809/2021
55,Oyekan Healthcare,Emmanuel Oyekan,08814384238,emmanueloyekan@hotmail.com,Kaduna,Kagoro,5/19/2024,Active,PCN/42460/2020
56,Ibrahim Drugs,Comfort Ibrahim,07421365165,comfortibrahim@hotmail.com,Ogun,Ijebu-Ode,6/27/2023,Active,
57,Abiola Drugs,Peter Abiola,08264168468,peterabiola@hotmail.com,Rivers,Okrika,11/28/2022,Active,PCN/55787/2022
58,Obasanjo Pharmacy,Emmanuel Obasanjo,07217452382,,Rivers,Bonny,9/14/2023,Active,PCN/98784/2019
59,Oshodi Medplus,Mark Oshodi,08078212278,markoshodi@gmail.com,Enugu,Agbani,1/15/2024,Pending,
60,Olawale Medicare,Faith Olawale,07402120954,,Rivers,Port Harcourt,8/15/2022,Inactive,PCN/64158/2021
61,Obasanjo Medicare,Andrew Obasanjo,07966220262,andrewobasanjo@yahoo.com,Delta,Ughelli,3/23/2024,Suspended,PCN/37266/2020
62,Adetokunbo Healthcare,Ruth Adetokunbo,08972862929,ruthadetokunbo@gmail.com,Abuja,Kubwa,4/27/2023,Active,PCN/36780/2022
63,Ibrahim Medicare,Charity Ibrahim,07344223585,charityibrahim@gmail.com,Kaduna,Zaria,10/17/2024,Active,PCN/36971/2020
64,Ekwueme Healthcare,Joseph Ekwueme,07965200999,,Oyo,Saki,6/16/2022,Inactive,PCN/11861/2021
65,Uche Healthcare,Faith Uche,07789506803,faithuche@gmail.com,Oyo,Ibadan,3/1/2024,Suspended,PCN/65058/2020
66,Akinwale Drugstore,Simon Akinwale,07133923679,simonakinwale@gmail.com,Rivers,Okrika,2/12/2023,Active,PCN/72650/2019
67,Adeyemi Drugstore,James Adeyemi,08043798437,jamesadeyemi@gmail.com,Kano,Fagge,8/9/2022,Suspended,PCN/80387/2020
68,Okonkwo Chemist,David Okonkwo,07767010211,davidokonkwo@yahoo.com,Enugu,Oji River,11/22/2023,Pending,PCN/86333/2018
69,Adetokunbo Drugs,Gloria Adetokunbo,07646392695,gloriaadetokunbo@gmail.com,Oyo,Oyo,11/14/2024,Active,
70,Okafor Drugstore,Mark Okafor,08889830165,markokafor@hotmail.com,Abuja,Maitama,1/19/2022,Active,PCN/11223/2024
71,Ogunleye Pharmaceuticals,Deborah Ogunleye,07113096061,deborahogunleye@yahoo.com,Enugu,Oji River,11/24/2023,Active,PCN/90748/2023
72,Akinwale Drugstore,Sarah Akinwale,08281467394,sarahakinwale@gmail.com,Anambra,Ekwulobia,3/19/2024,Active,PCN/70480/2021
73,Uche Medplus,Gabriel Uche,07277939147,gabrieluche@gmail.com,Delta,Warri,10/18/2024,Inactive,
74,Adeyemi Drugstore,Esther Adeyemi,07899077079,estheradeyemi@gmail.com,Ogun,Ota,4/1/2023,Suspended,PCN/33485/2023
75,Adeyemi Medstore,Mark Adeyemi,07862515146,markadeyemi@hotmail.com,Rivers,Obio,7/12/2024,Suspended,PCN/61283/2022
76,Oshodi Healthcare,Samuel Oshodi,08067986034,samueloshodi@gmail.com,Abuja,Maitama,7/24/2023,Active,PCN/86318/2020
77,Okafor Drugs,David Okafor,08631237414,davidokafor@yahoo.com,Ogun,Sagamu,9/21/2022,Active,PCN/25278/2024
78,Olawale Pharmacare,Paul Olawale,07952252246,paulolawale@yahoo.com,Rivers,Obio,11/1/2024,Active,PCN/87785/2019
79,Balogun Pharmacare,Esther Balogun,08073548964,estherbalogun@hotmail.com,Kano,Tarauni,2/15/2023,Pending,PCN/76514/2023
80,Nnamani Chemist,Angela Nnamani,08261854803,angelannamani@gmail.com,Anambra,Onitsha,8/10/2023,Active,PCN/34012/2019
81,Akinwale Drugs,Esther Akinwale,07349097973,estherakinwale@hotmail.com,Ogun,Abeokuta,9/20/2024,Active,PCN/24496/2021
82,Okonkwo Pharmacare,Elizabeth Okonkwo,08741284865,elizabethokonkwo@yahoo.com,Rivers,Port Harcourt,3/16/2024,Active,PCN/60896/2018
83,Uche Medicare,Grace Uche,07526918759,graceuche@yahoo.com,Kano,Nassarawa,3/19/2024,Pending,PCN/31784/2024
84,Ibrahim Chemist,Philip Ibrahim,08811592818,philip.ibrahim@yahoo.com,Enugu,Agbani,6/21/2024,Active,PCN/12420/2019
85,Ogunleye Drugstore,Peter Ogunleye,07974473197,peterogunleye@yahoo.com,Oyo,Saki,4/16/2023,Active,PCN/54766/2024
86,Obasanjo Medstore,Mary Obasanjo,08381055463,maryobasanjo@yahoo.com,Abuja,Wuse,6/25/2023,Suspended,PCN/86374/2020
87,Chukwu Chemist,Nathaniel Chukwu,08020492687,nathanielchukwu@gmail.com,Anambra,Onitsha,1/9/2024,Inactive,PCN/20302/2021
88,Oshodi Medicare,Gloria Oshodi,08006095551,gloriaoshodi@hotmail.com,Ogun,Abeokuta,10/4/2024,Active,PCN/64282/2024
89,Akinwale Medplus,Angela Akinwale,08251826250,angelaakinwale@hotmail.com,Ogun,Ota,9/17/2023,Active,PCN/14045/2024
90,Uche Medicare,Blessing Uche,07274370022,blessing.uche@yahoo.com,Delta,Sapele,10/14/2024,Active,PCN/68748/2023
91,Olawale Chemist,Ruth Olawale,09005186332,rutholawale@gmail.com,Anambra,Ekwulobia,11/17/2022,Active,PCN/18072/2021
92,Olawale Healthcare,Simon Olawale,08382212136,simonolawale@gmail.com,Kano,Tarauni,6/28/2024,Suspended,PCN/76234/2019
93,Oyekan Pharmacy,Angela Oyekan,08508831688,angelaoyekan@yahoo.com,Enugu,Nsukka,9/20/2024,Active,PCN/62423/2023
94,Ojo Pharmaceuticals,John Ojo,08037283193,johnojo@yahoo.com,Anambra,Nnewi,3/23/2024,Active,PCN/52964/2023
95,Chukwu Drugstore,Joshua Chukwu,08995974488,joshua.chukwu@yahoo.com,Ogun,Abeokuta,6/21/2023,Inactive,PCN/51922/2021
96,Oyekan Chemist,Andrew Oyekan,08081586623,andrewoyekan@gmail.com,Anambra,Ekwulobia,7/31/2022,Pending,PCN/14451/2023
97,Ojo Healthcare,Joy Ojo,07483376443,joyojo@hotmail.com,Abuja,Asokoro,7/26/2023,Pending,PCN/57788/2024
98,Uche Pharmacy,Mark Uche,07398712060,,Rivers,Eleme,1/8/2024,Active,PCN/52884/2023
99,Okafor Medstore,Stephen Okafor,07341012030,stephenokafor@gmail.com,Anambra,Awka,11/5/2022,Active,PCN/93084/2023
100,Ogunleye Chemist,Benjamin Ogunleye,08478162586,benjaminogunleye@yahoo.com,Enugu,Oji River,7/14/2022,Active,PCN/31481/2018
101,Akinwale Medplus,Gloria Akinwale,07967066594,gloriaakinwale@gmail.com,Delta,Warri,10/20/2023,Active,PCN/92434/2023
102,Eze Healthcare,Joshua Eze,07497845748,joshuaeze@gmail.com,Kaduna,Kagoro,4/17/2022,Pending,PCN/69059/2019
103,Ibrahim Drugs,Hope Ibrahim,08065985432,hopeibrahim@hotmail.com,Rivers,Port Harcourt,5/4/2024,Active,PCN/41599/2023
104,Obasanjo Medstore,Patience Obasanjo,07844562561,patienceobasanjo@gmail.com,Kaduna,Kaura,11/28/2023,Active,PCN/65367/2024
105,Oyekan Medplus,Philip Oyekan,08446499222,philipoyekan@yahoo.com,Kano,Gwale,8/16/2022,Active,PCN/48519/2021
106,Akinwale Pharmaceuticals,Gabriel Akinwale,08481932739,gabrielakinwale@gmail.com,Kaduna,Kaura,6/21/2024,Active,PCN/51972/2020
107,Chukwu Medplus,Ruth Chukwu,08924891930,ruthchukwu@hotmail.com,Delta,Warri,10/20/2024,Active,PCN/46214/2018
108,Adetokunbo Medstore,Esther Adetokunbo,08344674799,estheradetokunbo@gmail.com,Abuja,Kubwa,11/14/2024,Active,
109,Olawale Medplus,Andrew Olawale,08026962418,andrewolawale@hotmail.com,Kano,Kumbotso,7/24/2023,Active,PCN/56317/2022
110,Okonkwo Medplus,Blessing Okonkwo,07466259884,blessingokonkwo@hotmail.com,Lagos,Lekki,5/14/2022,Active,PCN/14764/2023
111,Uche Medstore,Grace Uche,08197529506,graceuche@gmail.com,Kano,Nassarawa,1/15/2022,Suspended,PCN/31668/2024
112,Obi Chemist,Mark Obi,07548891744,markobi@hotmail.com,Ogun,Ijebu-Ode,8/6/2024,Active,PCN/95521/2019
113,Obi Medstore,Philip Obi,08454431419,philipobi@hotmail.com,Enugu,Enugu,7/31/2022,Active,PCN/33640/2021
114,Okafor Drugstore,Patience Okafor,07792339574,patienceokafor@gmail.com,Rivers,Bonny,11/13/2022,Inactive,PCN/23820/2018
115,Obasanjo Pharmacy,Peter Obasanjo,08262199167,peterobasanjo@hotmail.com,Enugu,Awgu,5/22/2022,Pending,PCN/83227/2022
116,Oyekan Medicare,David Oyekan,08136361826,davidoyekan@yahoo.com,Kano,Fagge,5/24/2023,Active,PCN/34340/2019
117,Obi Pharmacy,Sarah Obi,08523847893,sarahobi@hotmail.com,Rivers,Eleme,10/24/2024,Active,PCN/59545/2020
118,Obi Medicare,Joy Obi,08225341333,joyobi@gmail.com,Delta,Asaba,4/3/2024,Active,PCN/39999/2021
119,Obi Pharmaceuticals,Hope Obi,08329922855,hopeobi@gmail.com,Kano,Gwale,12/10/2023,Pending,PCN/64953/2023
120,Balogun Chemist,Benjamin Balogun,07262882691,benjaminbalogun@yahoo.com,Ogun,Abeokuta,3/13/2023,Active,PCN/40437/2022
121,Okafor Pharmaceuticals,Charity Okafor,08667178534,charityokafor@gmail.com,Abuja,Maitama,1/2/2024,Pending,PCN/79737/2018
122,Oyekan Medstore,Angela Oyekan,08116429290,angelaoyekan@gmail.com,Enugu,Nsukka,3/27/2023,Active,PCN/66141/2018
123,Okafor Drugs,Gloria Okafor,08383528827,gloria.okafor@yahoo.com,Oyo,Oyo,6/3/2022,Active,PCN/28141/2020
124,Obasanjo Healthcare,Patience Obasanjo,08353239368,patienceobasanjo@hotmail.com,Delta,Asaba,7/5/2023,Active,PCN/36545/2024
125,Okonkwo Pharmaceuticals,Patience Okonkwo,08073843632,patienceokonkwo@hotmail.com,Oyo,Ogbomoso,10/29/2024,Active,PCN/86022/2021
126,Akinwale Drugstore,Angela Akinwale,08756780464,angelaakinwale@yahoo.com,Delta,Ughelli,11/24/2022,Suspended,PCN/34303/2021
127,Ibrahim Medicare,Joseph Ibrahim,08465706307,josephibrahim@gmail.com,Abuja,Kubwa,6/2/2024,Suspended,PCN/39218/2019
128,Adeyemi Drugs,Peace Adeyemi,08025539221,peaceadeyemi@yahoo.com,Lagos,Ikorodu,10/13/2022,Suspended,
129,Chukwu Healthcare,Joseph Chukwu,07612435092,josephchukwu@gmail.com,Ogun,Sagamu,12/29/2024,Active,PCN/62735/2019
130,Uche Medstore,Daniel Uche,07771152195,danieluche@yahoo.com,Rivers,Obio,9/15/2022,Inactive,PCN/59847/2020
131,Ogunleye Medstore,Joshua Ogunleye,07493478986,joshuaogunleye@yahoo.com,Abuja,Gwarinpa,7/15/2023,Suspended,PCN/80765/2021
132,Uche Medplus,Andrew Uche,07129788770,andrewuche@hotmail.com,Kaduna,Kagoro,12/7/2022,Active,
133,Nnamani Pharmaceuticals,James Nnamani,07747628011,jamesnnamani@hotmail.com,Kaduna,Kaura,1/1/2024,Active,PCN/61986/2019
134,Okafor Medstore,Faith Okafor,08907612429,faithokafor@gmail.com,Lagos,Ikorodu,7/12/2023,Active,
135,Uche Pharmacare,Charity Uche,08709382060,charityuche@gmail.com,Anambra,Nnewi,1/21/2024,Active,PCN/41397/2020
136,Adeyemi Chemist,Juliet Adeyemi,07607297251,julietadeyemi@gmail.com,Lagos,Victoria Island,11/15/2024,Active,PCN/51701/2020
137,Nnamani Medstore,Hope Nnamani,07963554558,hope.nnamani@yahoo.com,Oyo,Ibadan,3/26/2022,Active,
138,Adetokunbo Medplus,Benjamin Adetokunbo,08987955364,benjaminadetokunbo@hotmail.com,Lagos,Lekki,12/12/2023,Active,
139,Akinwale Drugs,Sarah Akinwale,08566628763,sarah.akinwale@yahoo.com,Lagos,Surulere,7/3/2023,Active,PCN/59772/2024
140,Obi Chemist,Gabriel Obi,08099409918,gabrielobi@yahoo.com,Oyo,Oyo,4/23/2024,Active,PCN/29333/2018
141,Ekwueme Drugstore,Nathaniel Ekwueme,08989805217,nathanielekwueme@yahoo.com,Kaduna,Kaduna,7/5/2024,Active,PCN/11833/2021
142,Olawale Pharmacy,Charity Olawale,08013923767,charity.olawale@yahoo.com,Abuja,Asokoro,1/20/2022,Active,PCN/93714/2023
143,Okonkwo Pharmaceuticals,Agnes Okonkwo,07564342029,agnesokonkwo@yahoo.com,Anambra,Ekwulobia,10/7/2024,Active,PCN/85354/2024
144,Obasanjo Chemist,Patience Obasanjo,07743982538,patience.obasanjo@yahoo.com,Kaduna,Kafanchan,11/21/2024,Active,PCN/98011/2022
145,Ojo Pharmacy,Charity Ojo,08127584654,charityojo@gmail.com,Kaduna,Zaria,12/2/2023,Active,PCN/89597/2021
146,Obasanjo Healthcare,Benjamin Obasanjo,08823279537,benjaminobasanjo@hotmail.com,Kaduna,Kaduna,3/31/2023,Active,PCN/48711/2019
147,Ojo Healthcare,Juliet Ojo,08013549459,julietojo@gmail.com,Rivers,Obio,6/11/2024,Active,PCN/46924/2020
148,Ekwueme Drugs,Gabriel Ekwueme,08053583529,gabrielekwueme@hotmail.com,Rivers,Eleme,8/4/2024,Active,PCN/12511/2019
149,Obasanjo Drugs,Angela Obasanjo,08050273097,angelaobasanjo@gmail.com,Lagos,Lekki,3/1/2024,Active,PCN/53607/2018
150,Uche Chemist,Joshua Uche,08423101469,joshuauche@yahoo.com,Enugu,Awgu,3/10/2024,Inactive,PCN/90516/2018
151,Oyekan Medplus,Cornelius Oyekan,08021758727,corneliusoyekan@gmail.com,Oyo,Oyo,8/1/2024,Active,PCN/11295/2018
152,Uche Drugs,Michael Uche,08357645925,michaeluche@yahoo.com,Oyo,Oyo,3/10/2022,Active,PCN/46455/2022
153,Adetokunbo Pharmacy,Ruth Adetokunbo,07145902041,ruthadetokunbo@yahoo.com,Anambra,Ekwulobia,4/5/2023,Suspended,PCN/83181/2018
154,Nnamani Drugs,Philip Nnamani,08068253175,philipnnamani@hotmail.com,Lagos,Victoria Island,2/3/2023,Active,PCN/10622/2020
155,Obi Healthcare,John Obi,08986513147,johnobi@yahoo.com,Ogun,Sagamu,10/29/2023,Suspended,PCN/66434/2021
156,Adetokunbo Pharmacy,Paul Adetokunbo,08209778506,pauladetokunbo@gmail.com,Oyo,Saki,4/17/2023,Active,PCN/94872/2022
157,Okonkwo Medicare,Paul Okonkwo,08094404768,paulokonkwo@gmail.com,Rivers,Okrika,11/24/2023,Pending,PCN/56910/2019
158,Ibrahim Drugs,Andrew Ibrahim,07484033999,andrewibrahim@hotmail.com,Kaduna,Zaria,8/1/2023,Active,PCN/48047/2023
159,Uche Medplus,Charity Uche,07778638619,charityuche@yahoo.com,Abuja,Wuse,10/4/2023,Inactive,PCN/95747/2021
160,Eze Pharmacare,Agnes Eze,08179959191,agneseze@gmail.com,Lagos,Surulere,6/21/2022,Active,PCN/61034/2024
161,Chukwu Pharmaceuticals,Comfort Chukwu,07084365016,comfortchukwu@yahoo.com,Ogun,Ilaro,1/11/2022,Pending,PCN/62620/2022
162,Ibrahim Medstore,Mark Ibrahim,08809336813,markibrahim@yahoo.com,Abuja,Wuse,7/20/2024,Inactive,PCN/38125/2018
163,Obi Medstore,Daniel Obi,09052146797,danielobi@yahoo.com,Kano,Fagge,8/11/2024,Active,PCN/23220/2021
164,Adeyemi Drugstore,Angela Adeyemi,07301537702,angelaadeyemi@yahoo.com,Enugu,Awgu,2/18/2024,Active,PCN/64995/2021
165,Oyekan Healthcare,Comfort Oyekan,08020923352,comfortoyekan@hotmail.com,Kano,Tarauni,11/22/2024,Suspended,PCN/74296/2024
166,Okonkwo Medstore,Angela Okonkwo,08722073428,angelaokonkwo@yahoo.com,Ogun,Ota,5/27/2024,Active,PCN/23096/2023
167,Nnamani Healthcare,Agnes Nnamani,07714598788,agnesnnamani@yahoo.com,Enugu,Agbani,7/9/2022,Active,PCN/58288/2022
168,Eze Pharmaceuticals,Peter Eze,08051855182,petereze@gmail.com,Delta,Asaba,11/9/2022,Active,PCN/10626/2018
169,Adeyemi Pharmaceuticals,Juliet Adeyemi,07311854231,julietadeyemi@yahoo.com,Lagos,Ikorodu,10/19/2024,Pending,
170,Olawale Pharmacare,Gloria Olawale,08286539664,gloriaolawale@yahoo.com,Delta,Warri,8/4/2023,Pending,PCN/45045/2020
171,Eze Pharmacare,David Eze,08649060455,davideze@yahoo.com,Delta,Agbor,1/8/2022,Inactive,PCN/52166/2020
172,Obasanjo Pharmaceuticals,Esther Obasanjo,08232122845,estherobasanjo@hotmail.com,Kaduna,Kaura,12/2/2023,Pending,PCN/28726/2020
173,Nnamani Drugs,Stephen Nnamani,07824272220,stephennnamani@gmail.com,Lagos,Ikorodu,10/7/2023,Active,PCN/47942/2019
174,Ogunleye Drugstore,James Ogunleye,07304371853,jamesogunleye@yahoo.com,Oyo,Ibadan,1/14/2023,Active,PCN/70928/2020
175,Abiola Pharmaceuticals,Joy Abiola,08808863701,joyabiola@gmail.com,Delta,Asaba,11/19/2024,Active,PCN/52702/2018
176,Abiola Pharmaceuticals,Nathaniel Abiola,07539585250,nathanielabiola@gmail.com,Oyo,Ogbomoso,7/12/2023,Active,PCN/70536/2021
177,Uche Pharmacy,Samuel Uche,07187648252,samueluche@gmail.com,Kano,Tarauni,8/21/2023,Active,PCN/50498/2021
178,Eze Healthcare,Agnes Eze,08313643673,agneseze@gmail.com,Delta,Warri,5/12/2023,Active,PCN/12810/2021
179,Adeyemi Pharmacy,Grace Adeyemi,07605317890,,Kaduna,Kafanchan,6/26/2024,Active,PCN/39679/2018
180,Obasanjo Drugs,Elizabeth Obasanjo,07731071380,elizabethobasanjo@hotmail.com,Kano,Fagge,9/5/2023,Active,PCN/92209/2023
181,Balogun Medplus,Samuel Balogun,08288286948,samuelbalogun@yahoo.com,Anambra,Aguata,12/13/2023,Suspended,
182,Okafor Medstore,Deborah Okafor,07294751016,deborahokafor@yahoo.com,Abuja,Garki,7/23/2024,Active,PCN/95657/2022
183,Obi Healthcare,Charity Obi,07301506208,charityobi@hotmail.com,Oyo,Oyo,4/22/2023,Active,PCN/75237/2018
184,Nnamani Healthcare,Angela Nnamani,09045478451,angelannamani@gmail.com,Kano,Kumbotso,10/12/2022,Pending,PCN/98294/2022
185,Nnamani Drugs,James Nnamani,08034657539,james.nnamani@yahoo.com,Enugu,Oji River,3/14/2023,Active,
186,Olawale Chemist,Angela Olawale,08508494985,angelaolawale@yahoo.com,Kaduna,Kafanchan,4/7/2022,Active,PCN/72209/2022
187,Obasanjo Medicare,Paul Obasanjo,07685214069,paulobasanjo@yahoo.com,Ogun,Ijebu-Ode,11/4/2023,Active,
188,Adeyemi Drugs,Daniel Adeyemi,08062496186,danieladeyemi@hotmail.com,Ogun,Ilaro,9/7/2023,Active,PCN/66561/2024
189,Chukwu Drugstore,Agnes Chukwu,08988543911,,Rivers,Obio,1/7/2024,Active,PCN/10316/2018
190,Okonkwo Drugstore,Philip Okonkwo,08097695464,,Enugu,Enugu,4/7/2022,Active,PCN/96284/2020
191,Ekwueme Medstore,Faith Ekwueme,08029645742,faithekwueme@gmail.com,Delta,Sapele,7/16/2022,Active,PCN/11086/2023
192,Obasanjo Healthcare,Michael Obasanjo,07849520610,,Enugu,Enugu,11/8/2023,Active,
193,Adetokunbo Healthcare,Stephen Adetokunbo,08771809075,stephenadetokunbo@hotmail.com,Oyo,Ibadan,12/13/2023,Active,PCN/77923/2023
194,Oshodi Pharmacy,Elizabeth Oshodi,07247894297,elizabethoshodi@hotmail.com,Ogun,Ota,3/1/2023,Active,
195,Obasanjo Medplus,Comfort Obasanjo,07369484576,comfortobasanjo@gmail.com,Abuja,Garki,7/14/2023,Suspended,PCN/55444/2022
